id,wo_result
0,is-biased
1,is-not-biased
2,is-biased
3,is-biased
4,is-biased
5,is-biased
6,is-biased
7,is-biased
8,is-biased
9,is-biased
10,is-biased
11,is-biased
12,is-biased
13,is-biased
14,is-biased
15,is-biased
16,is-biased
17,is-biased
18,is-biased
19,is-biased
20,is-biased
21,is-biased
22,is-biased
23,is-biased
24,is-biased
25,is-biased
26,is-biased
27,is-biased
28,is-biased
29,is-biased
30,is-biased
31,is-biased
32,is-biased
33,is-biased
34,is-biased
35,is-biased
36,is-biased
37,is-biased
38,is-biased
39,is-biased
40,is-biased
41,is-biased
42,is-biased
43,
44,is-biased
45,is-not-biased
46,is-biased
47,is-biased
48,is-biased
49,is-biased
50,is-biased
51,is-biased
52,is-biased
53,is-biased
54,is-biased
55,is-biased
56,is-biased
57,is-biased
58,is-biased
59,is-biased
60,is-biased
61,is-biased
62,is-biased
63,is-biased
64,is-biased
65,is-biased
66,is-biased
67,is-biased
68,is-biased
69,is-biased
70,is-biased
71,is-biased
72,is-biased
73,is-biased
74,is-biased
75,is-biased
76,is-biased
77,is-biased
78,is-biased
79,is-biased
80,is-biased
81,is-biased
82,is-biased
83,is-biased
84,is-biased
85,is-biased
86,is-not-biased
87,is-biased
88,is-biased
89,is-biased
90,is-biased
91,is-biased
92,is-biased
93,is-biased
94,is-biased
95,is-biased
96,is-biased
97,is-biased
98,is-biased
99,is-biased
100,is-biased
101,is-biased
102,is-biased
103,is-biased
104,is-biased
105,is-biased
106,is-biased
107,is-biased
108,is-biased
109,is-biased
110,is-biased
111,is-biased
112,is-biased
113,is-biased
114,is-biased
115,is-biased
116,is-biased
117,is-biased
118,is-biased
119,is-biased
120,is-biased
121,is-biased
122,is-biased
123,is-biased
124,is-biased
125,is-biased
126,is-biased
127,is-biased
128,is-biased
129,is-biased
130,is-biased
131,is-biased
132,is-biased
133,is-biased
134,is-biased
135,is-biased
136,is-biased
137,is-biased
138,is-biased
139,is-biased
140,is-biased
141,is-biased
142,is-biased
143,is-biased
144,is-biased
145,is-biased
146,is-biased
147,is-biased
148,is-biased
149,is-biased
150,is-biased
151,is-biased
152,is-biased
153,is-biased
154,is-biased
155,is-biased
156,is-biased
157,is-biased
158,is-biased
159,is-biased
160,is-biased
161,is-biased
162,is-biased
163,is-biased
164,is-biased
165,is-biased
166,is-biased
167,is-biased
168,is-biased
169,is-biased
170,is-biased
171,is-biased
172,is-biased
173,is-biased
174,is-biased
175,is-biased
176,is-biased
177,is-biased
178,is-biased
179,is-biased
180,is-biased
181,is-biased
182,is-biased
183,is-not-biased
184,is-biased
185,is-biased
186,is-biased
187,is-biased
188,is-biased
189,is-biased
190,is-biased
191,is-biased
192,is-biased
193,is-biased
194,is-biased
195,is-biased
196,is-biased
197,is-biased
198,is-biased
199,is-biased
200,is-biased
201,is-biased
202,is-biased
203,is-biased
204,is-biased
205,is-biased
206,is-biased
207,is-biased
208,is-biased
209,is-biased
210,is-biased
211,is-biased
212,is-biased
213,is-biased
214,is-biased
215,is-biased
216,is-biased
217,is-biased
218,is-biased
219,is-biased
220,is-biased
221,is-biased
222,is-biased
223,is-biased
224,is-biased
225,is-biased
226,is-biased
227,is-biased
228,is-biased
229,is-biased
230,is-biased
231,is-biased
232,is-biased
233,is-biased
234,is-biased
235,is-biased
236,is-biased
237,is-biased
238,is-biased
239,is-biased
240,is-biased
241,is-biased
242,is-biased
243,is-biased
244,is-not-biased
245,is-biased
246,is-biased
247,is-biased
248,is-not-biased
249,is-biased
250,is-biased
251,is-biased
252,is-biased
253,is-biased
254,is-biased
255,is-biased
256,is-biased
257,is-biased
258,is-biased
259,is-biased
260,is-biased
261,is-biased
262,is-biased
263,is-biased
264,is-biased
265,is-biased
266,is-biased
267,is-not-biased
268,is-biased
269,is-biased
270,is-biased
271,is-biased
272,is-biased
273,is-biased
274,is-biased
275,is-biased
276,is-biased
277,is-biased
278,is-biased
279,is-biased
280,is-biased
281,is-biased
282,is-biased
283,is-biased
284,is-not-biased
285,is-not-biased
286,is-biased
287,is-not-biased
288,is-biased
289,is-biased
